pri_neigh,shape_area,lat,lon
Grand Boulevard,48492503.1554,41.812949359749226,-87.61785969076016
Printers Row,2162137.97139,41.87098068323221,-87.62903477750093
United Center,32520512.7053,41.88196514867284,-87.679135944055
Sheffield & DePaul,10482592.2987,41.92718791390102,-87.65367040860221
Humboldt Park,125010425.593,41.90088897619868,-87.71650688570429
Garfield Park,89976069.5947,41.87878628220637,-87.71565903148114
North Lawndale,89487422.0244,41.86018959315661,-87.71721947381101
Little Village,127998297.81899999,41.83908700933336,-87.71400209566748
Armour Square,17141468.6356,41.83609103969799,-87.63322224544174
Avalon Park,34852737.7366,41.744199680170844,-87.58634883444864
Burnside,16995983.2737,41.72818223448604,-87.59647566791983
Hermosa,32602059.4055,41.924347757828976,-87.73474016017707
Avondale,55290595.482,41.93866588852227,-87.71121063785668
Logan Square,71256806.5518,41.923193406383604,-87.70738933231398
Calumet Heights,48826241.5643,41.729676127800424,-87.57271771088752
East Side,83241728.0493,41.707313962525944,-87.53490233789297
West Pullman,99365198.0822,41.673820051191335,-87.63574016611986
Garfield Ridge,117890778.42899999,41.79618561260646,-87.76423968102975
New City,134636963.254,41.809018524003356,-87.65916684499578
Englewood,173600015.009,41.77655562220019,-87.65470601863905
Grand Crossing,98853167.7093,41.76324707441728,-87.61613416906577
Ashburn,135460337.208,41.745756914972716,-87.70836548831842
Mount Greenwood,75584290.0209,41.694879443325995,-87.71319185805227
Morgan Park,91877340.6988,41.68972958670014,-87.66905398717742
O'Hare,371835607.687,41.975683924829404,-87.89370075774988
Jackson Park,23545658.7772,41.78185375687572,-87.57995275607483
Loop,31485185.0318,41.88005153127083,-87.62699284257677
Pullman,59001555.602,41.70612706325904,-87.59825466720244
Riverdale,98389497.4143,41.66013747071342,-87.60284873293811
Hegewisch,145965741.437,41.66053490553938,-87.54657542638773
Greektown,1650645.84189,41.878544866884354,-87.647127474498
Douglas,46004621.136999995,41.83511834342372,-87.61867772049189
Museum Campus,15517071.1631,41.85914562177338,-87.61248314749558
Edgewater,38865397.6718,41.98840332884303,-87.6623198429291
Lake View,76561177.2562,41.94363413442302,-87.65607957109054
Lincoln Park,67401451.3717,41.92325260920524,-87.65014357102879
Magnificent Mile,882405.0861600001,41.89478395614929,-87.62418781399894
Lincoln Square,71352328.2399,41.975171531319965,-87.68751544294865
Oakland,16913961.0408,41.82375034653349,-87.60321641295263
Grant Park,8974786.19635,41.874297924431524,-87.62083653328847
West Loop,52945063.8967,41.87769046079917,-87.64872147830552
Fuller Park,19916704.8692,41.8090854851583,-87.63242456956813
Andersonville,9584592.89906,41.97985392908802,-87.66786455272009
Woodlawn,40515739.083000004,41.77878715036959,-87.60168604730204
Portage Park,110196097.139,41.95402816297836,-87.76339991111128
Rush & Division,3489575.8016,41.899235605080925,-87.62906840022028
"Little Italy, UIC",71376244.1225,41.867539028686096,-87.66775674354209
Kenwood,29071741.9283,41.80891637096718,-87.59618357876455
Rogers Park,51259902.4506,42.00962337882816,-87.67016729403103
Jefferson Park,64868161.6819,41.9788299831754,-87.77116691800639
"Sauganash,Forest Glen",89130893.6364,41.99393065491524,-87.75835628921115
North Park,70288706.4343,41.983636456126916,-87.72358281826823
Albany Park,53542230.819,41.96806846651451,-87.72155978386026
Irving Park,89611382.3106,41.953581819788184,-87.7234524820589
Dunning,103595001.175,41.94651066400074,-87.80601984480677
West Ridge,98429094.8621,42.00157214718694,-87.69501265886412
Uptown,65095642.836,41.96581207854387,-87.65587931910777
Norwood Park,121959105.47,41.98524067469715,-87.8034502383486
Streeterville,17894338.8151,41.89371443184356,-87.61591869509247
South Shore,81812716.3904,41.76157779723936,-87.57278271472128
Chatham,82320670.3112,41.74020600136309,-87.61596996010869
South Chicago,93272185.0092,41.741242816132115,-87.55142918510334
Roseland,134313706.73,41.70658996236592,-87.62336576895395
North Center,57054167.85,41.947792374428204,-87.68383517980914
South Deering,303797059.66,41.69063701315596,-87.57005674803646
Washington Park,42373881.4842,41.79235756938755,-87.61793123307714
Millenium Park,2775228.37927,41.88277433663461,-87.62037921878711
Near South Side,34252582.7003,41.85629570356026,-87.62389193404857
Chinatown,10624727.4605,41.85173342994986,-87.63518576488012
Chicago Lawn,98279465.1151,41.77184915982167,-87.69566636417815
Auburn Gresham,105065353.60200001,41.74420543770542,-87.65630678738073
Beverly,88779363.9384,41.71314972661768,-87.67507504918918
Washington Heights,79635752.8769,41.71749388370873,-87.64889548779358
Edison Park,31636313.7864,42.0076131533338,-87.81378102746602
Hyde Park,38859161.8437,41.79482494921068,-87.59391394557746
Bucktown,28800760.1412,41.9216871762826,-87.67878488228942
Lower West Side,81550723.8231,41.85026617186418,-87.66756822554883
Wrigleyville,7287843.05188,41.95059308607209,-87.65910112532818
Archer Heights,55922505.7212,41.81087957236307,-87.72636283915223
Brighton Park,75892790.3114,41.81736680016023,-87.6988606441201
Mckinley Park,39431799.6479,41.82992225303247,-87.6725027002854
East Village,7050048.4688800005,41.899630106702965,-87.67227484119461
West Town,58507728.4211,41.89701330563117,-87.66450354562964
Bridgeport,58291519.276,41.83615066178183,-87.64878824823697
West Elsdon,32711091.4259,41.792981986082815,-87.72420790439395
Gage Park,61284896.1132,41.79543062686036,-87.69643520919291
Clearing,71145192.3827,41.77958149114694,-87.76851103124123
West Lawn,82315301.6831,41.76977903233388,-87.72692933444337
Wicker Park,26853193.0926,41.90868483057462,-87.6798605648856
Ukrainian Village,10622385.5776,41.899427528729056,-87.68450744110459
Galewood,29257505.72,41.91418659038424,-87.79279468640134
Montclare,27535347.8586,41.92931340144361,-87.79803967114724
Old Town,19847998.9611,41.911370191024574,-87.63978428663219
Belmont Cragin,109099407.21100001,41.92726074307721,-87.76550183531252
Austin,170037750.826,41.8906500031886,-87.75800980512669
Gold Coast,7165705.53467,41.906006238546745,-87.62710434491952
Boystown,3365778.97115,41.94392371484179,-87.64744677008851
River North,38766442.5194,41.89901512930598,-87.64132343838173
